Title,Genre
To Kill a Mockingbird,Fiction
Dune,Sci-Fi
Gone Girl,Mystery
Pride and Prejudice,Romance
The Notebook,Romance
Ender's Game,Sci-Fi
Foundation,Sci-Fi
Sherlock Holmes,Mystery
The Da Vinci Code,Mystery
Percy Jackson,Fantasy
A Song of Ice and Fire,Fantasy
Little Women,Classic
1984,Dystopian
Brave New World,Dystopian
The Road,Dystopian
The Fault in Our Stars,Young Adult
Eleanor & Park,Young Adult
The Catcher in the Rye,Classic
Of Mice and Men,Classic
The Alchemist,Philosophical
Siddhartha,Philosophical
It,Horror
Dracula,Horror
The Shining,Horror
The Martian,Sci-Fi
Ready Player One,Sci-Fi
Big Little Lies,Drama
The Night Circus,Fantasy
The Kite Runner,Drama
Life of Pi,Adventure
The Hunger Games,Dystopian
Divergent,Dystopian
Twilight,Romance
Me Before You,Romance
